beer,beeradvocate_score,beeradvocate_style,beeradvocate_abv,ratebeer_score,untappd_abv,untappd_ibu,untappd_rating
Highland Pilsner,,,,66,5.5% ABV,30 IBU,3.59
Highland Midnight Summit,90,English Sweet / Milk Stout,6%,78,6% ABV,40 IBU,3.79
Hitachino White Ale,91,Belgian Witbier,5.5%,70,5.5% ABV,13 IBU,3.63
Hitachino Commemorative,,,,87,8% ABV,28 IBU,3.65
Hitachino Ancient Nipponia,86,American Imperial Pilsner,8%,N/A,8% ABV,25 IBU,3.58
Hitachino Dai-Dai Indig,,,,,7% ABV,No IBU,N/A
Hitachino Espresso Stout,,,,98,7% ABV,36 IBU,3.73
Hitachino Hefeweizen,,,,,5.5% ABV,12 IBU,3.53
Hitachino Ginger Ale,83,Herb and Spice Beer,8%,57,8% ABV,18 IBU,3.25
Hitachino XH,,,,94,8% ABV,37 IBU,3.71
Hitachino Sweet Stout,73,English Sweet / Milk Stout,3.9%,25,4% ABV,15 IBU,3.4
Hitachino Yuzu Saiso,85,Belgian Saison,5.5%,N/A,5% ABV,16 IBU,3.56
Hobgoblin,,,,46,5.2% ABV,32 IBU,3.44
Hitachino Yuzu Lager,85,American Lager,5.5%,70,5.5% ABV,No IBU,3.66
Hoof Hearted Rose Gose,88,Leipzig Gose,4.2%,92,4.2% ABV,5 IBU,3.79
Houblon Chouffe IPA Tripel,94,Belgian IPA,9%,98,9% ABV,47 IBU,3.72
Jacks Cider Dry Hopped,,,,N/A,5.5% ABV,No IBU,3.43
Jacks Cider Original,,,,N/A,5.5% ABV,No IBU,3.37
Julius Echter Hefe-Weissbier Dunkel,,,,81,5.3% ABV,No IBU,3.75
Jacks Cider Peach,,,,N/A,5% ABV,No IBU,3.47
Iwate Kura Oyster Stout,89,Russian Imperial Stout,8%,83,7% ABV,30 IBU,3.69
JW Lees Calvados,91,English Barleywine,11.5%,,11.5% ABV,No IBU,3.91
JW Lees Sherry,92,English Barleywine,11.5%,,11.5% ABV,No IBU,3.93
Kagua Blanc,,,,86,8% ABV,No IBU,3.76
Kagua Rouge,86,Belgian Strong Dark Ale,9%,86,9% ABV,No IBU,3.72
Kalik,,,,1,5% ABV,No IBU,2.96
Kinshachi Akamiso Lager,,,,46,6% ABV,No IBU,3.48
Kasteel Barista Chocolate Quad,93,Belgian Quadrupel (Quad),11%,94,11% ABV,No IBU,3.83
Kurikuro Chestnut Ale,,,,98,9% ABV,No IBU,4.16
Koshihikari Echigo,77,Japanese Rice Lager,5%,12,5% ABV,16 IBU,3.47
Kyoto Yamadanishiki Ale,n/a,American Blonde Ale,5%,11,5% ABV,20 IBU,3.39
La Chouffe,,,,97,8% ABV,20 IBU,3.84
Left Hand Brewing Milk Stout,,,,,6% ABV,25 IBU,3.94
Left Hand Brewing Wheels Gose Round,86,Leipzig Gose,4.4%,,4.4% ABV,14 IBU,3.72
Left Hand Brewing Flamingo Dreams NITRO,85,American Blonde Ale,4.7%,,4.7% ABV,11 IBU,3.52
Left Hand Brewing Wake Up Dead,,,,,10.2% ABV,45 IBU,3.91
Left Hand Brewing Sawtooth NITRO,78,English Extra Special / Strong Bitter (ESB),5.3%,,5.3% ABV,27 IBU,3.46
Left Hand Brewing Hard Wired NITRO,90,American Porter,6%,,6% ABV,33 IBU,3.88
Lindemans Framboise,,,,89,2.5% ABV,12 IBU,3.77
Lindemans Kriek,,,,75,3.5% ABV,18 IBU,3.54
Lindemans Peche,,,,62,2.5% ABV,10 IBU,3.58
Lindemans Oude Kriek Cuvee Rene,92,Belgian Fruit Lambic,7%,N/A,7% ABV,No IBU,3.87
Lindemans Pomme,84,Belgian Fruit Lambic,4%,42,4% ABV,12 IBU,3.48
Lindemans Strawberry Lambic,,,,,4.1% ABV,12 IBU,3.81
Maine Beer Lunch IPA,,,,,7% ABV,No IBU,4.2
Maine Beer Peeper Pale Ale,,,,95,5.5% ABV,No IBU,3.82
McChouffe,89,Belgian Strong Dark Ale,8%,97,8% ABV,20 IBU,3.67
Mercier Orchards Grumpy Granny,,,,N/A,6.7% ABV,No IBU,3.57
Monks Cafe Ale,,,,37,5.5% ABV,No IBU,3.84
Mission Trail Plum Jerkum,,,,N/A,6.5% ABV,No IBU,3.8
Nice Chouffe,91,Belgian Strong Dark Ale,10%,96,10% ABV,25 IBU,3.68
Nightmare Ling Chi,91,American Wild Ale,8.1%,N/A,8.1% ABV,No IBU,4.1
Nightmare Windlass of Erasmus,92,Leipzig Gose,6.5%,90,6.5% ABV,No IBU,4.12
North Coast Brewing 2018 Old Stock Cellar Reserve Rye,,,,,13.5% ABV,No IBU,4.15
North Coast Brewing Old Rasputin XXII,,,,,11.3% ABV,No IBU,4.21
North Coast Brewing Scrimshaw Pilsner,85,German Pilsner,4.4%,,4.7% ABV,22 IBU,3.53
North Coast Brewing Brother Thelonious,86,Belgian Strong Dark Ale,9.4%,,9.4% ABV,32 IBU,3.88
North Coast Brewing Old Rasputin Stout,,,,,9% ABV,75 IBU,4.02
North Coast Brewing Old Stock Ale,,,,,12% ABV,34 IBU,3.92
Petrus Aged Pale,,,,91,7.3% ABV,24 IBU,3.67
Petrus Brewmaster Wild Tripel,,,,N/A,8% ABV,50 IBU,3.56
Petrus Aged Red,85,Flanders Oud Bruin,8.5%,67,8.5% ABV,18 IBU,3.63
Piraat,,,,92,10.5% ABV,23 IBU,3.67
Possman Heisser Mulled Cider,,,,,5.5% ABV,No IBU,3.54
Possmann Rose Cider,,,,,5% ABV,No IBU,3.6
PRESS Variety,,,,,7.5% ABV,No IBU,N/A
PRESS Blackberry Hibiscus,,,,,4% ABV,No IBU,3.59
PRESS Grapefruit Cardamom,,,,,4% ABV,No IBU,3.35
PRESS Lime Lemongrass,,,,,4% ABV,No IBU,3.35
PRESS Pomegranate Ginger,,,,,6% ABV,35 IBU,3.84
Public Access Omniscient Signal,90,New England IPA,8%,79,8% ABV,No IBU,3.88
Public Access On Air,89,New England IPA,8%,93,8% ABV,No IBU,4.05
Public Access Psychic Mirror,,,,N/A,8% ABV,No IBU,4.04
Public Access Silent Rejoice,91,New England IPA,7%,80,7% ABV,No IBU,4.07
Public Access Suspended Disbelief,90,New England IPA,8%,87,8% ABV,No IBU,3.9
Puffed Rice Pale Ale,,,,,7.8% ABV,16 IBU,3.46
Quarta Runa,87,Fruit and Field Beer,7%,84,7% ABV,No IBU,3.91
Quest Golden Fleece,,,,79,4.5% ABV,35 IBU,3.43
Quest Ponce Jalapeno Saison,87,Belgian Saison,5%,,5% ABV,22 IBU,3.56
Remartello,,,,N/A,5.6% ABV,No IBU,3.57
Service Rally Point Pils,,,,,4.6% ABV,30 IBU,3.45
Service Lincolns Gift,89,English Sweet / Milk Stout,5.5%,73,5.5% ABV,23 IBU,3.73
Six Bridges Blueberry Sour Continuum,n/a,Berliner Weisse,5%,N/A,5% ABV,No IBU,3.96
Six Bridges Medlock IPA,n/a,New England IPA,6.2%,,6.2% ABV,No IBU,3.87
Six Bridges Silent Accord,n/a,American Stout,6.5%,N/A,6.5% ABV,No IBU,3.83
SLO Brew Cali-Squeeze,,,,N/A,5.4% ABV,15 IBU,3.75
SLO Brew Mango-Squeeze,,,,N/A,5.4% ABV,15 IBU,3.74
Southern Tier 2X IPA,,,,61,8.2% ABV,80 IBU,3.81
Southern Tier Nu Juice,86,American IPA,6%,82,6% ABV,30 IBU,3.67
Southern Tier Pumking,,,,N/A,8.6% ABV,33 IBU,3.93
St Peters Cream Stout,88,English Sweet / Milk Stout,6.5%,93,6.5% ABV,31 IBU,3.61
St Peters Old - Style Porter,87,English Porter,5.1%,72,5.1% ABV,No IBU,3.62
Southern Tier Swipe Light,82,American Pale Ale (APA),4%,35,4% ABV,15 IBU,3.31
St. Barnardus Abt,,,,99,10% ABV,22 IBU,4.05
St. Barnardus Prior,,,,98,8% ABV,23 IBU,3.73
St. Barnardus Tripel,,,,97,8% ABV,30 IBU,3.78
St. Barnardus Witbier,,,,,5.5% ABV,10 IBU,3.62
St. Barnardus Pater,,,,93,6.7% ABV,No IBU,3.57
St. Barnardus 2017 Abt,,,,,10% ABV,22 IBU,4.01
St. Barnardus 2018 Abt,,,,,10% ABV,No IBU,4.06
St. Barnardus 2016 Abt,,,,,10% ABV,22 IBU,4.14
St. Barnardus 2019 Abt,,,,,10% ABV,22 IBU,4
St. Barnardus Sour Abt,,,,77,10% ABV,22 IBU,3.88
Steady Winter Ale,n/a,Belgian Saison,6.5%,N/A,6.5% ABV,25 IBU,3.7
